path,role,size_bytes,sha256,line_count,instruction_count,org_count,db_directive_count,db_source_bytes,uses_tabl,uses_tabh,call_count,jmp_count,sram_addresses,highest_written_word,span_words,hole_words,overlap_count,out_of_range_count,bin_artifacts,map_artifacts
ssd1306_oled_heello_db_raw_verified.asm,hardware_verified,5973,36dc9cff310d30c08e57b9a7dec71af8e30257203abebbc383cc05ab775bc0eb,301,206,7,6,96,True,True,60,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01C0,449,195,0,0,build/ssd1306_oled_heello_db_raw_verified.bin,build/ssd1306_oled_heello_db_raw_verified.map
ssd1306_oled_heello_db_tabl_tabh.asm,example_or_application,6145,815f1ad1341d81d9756fc86071f860614c23ed5e4662d8eada07e4de97e9a02c,309,205,4,6,96,True,True,60,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01BB,444,191,0,0,build/ssd1306_oled_heello_db_tabl_tabh.bin,build/ssd1306_oled_heello_db_tabl_tabh.map
ssd1306_oled_hello_tabh_page0.asm,example_or_application,6143,0defa5e38b7b680429d1b5d110984305fd3e3b175f71de8ba9adfaf2175f9d14,279,230,3,0,0,False,True,58,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x00E6,231,1,0,0,build/ssd1306_oled_hello_tabh_page0.bin,build/ssd1306_oled_hello_tabh_page0.map
ssd1306_oled_hello_tabh_wordaddr.asm,example_or_application,6080,6f7ac5ca663a93728bbb432bf22740d660e75178091a040a88082801456810d8,278,230,3,0,0,False,True,58,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01C6,455,225,0,0,build/ssd1306_oled_hello_tabh_wordaddr.bin,build/ssd1306_oled_hello_tabh_wordaddr.map
ssd1306_oled_hello_tabl_byteaddr.asm,example_or_application,5819,04d5a9f68f59998ad85ecbdc4b4d6b8b27bd7ec7fbe8256d260421ab7c6ab345,278,230,3,0,0,True,False,58,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01C6,455,225,0,0,build/ssd1306_oled_hello_tabl_byteaddr.bin,build/ssd1306_oled_hello_tabl_byteaddr.map
ssd1306_oled_hello_tabl_movtable.asm,example_or_application,5714,c1c593cf940bae0531282ebc5f26eef57cbab70ecbd3ea15903d91c62e8fa59c,276,228,3,0,0,True,False,58,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01C4,453,225,0,0,build/ssd1306_oled_hello_tabl_movtable.bin,build/ssd1306_oled_hello_tabl_movtable.map
ssd1306_oled_hello_tabl_wordaddr.asm,example_or_application,5770,4617479acdc896e563ba107b9399b53dd873aaef5a93805a4695a8e3ede50a21,278,230,3,0,0,True,False,58,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01C6,455,225,0,0,build/ssd1306_oled_hello_tabl_wordaddr.bin,build/ssd1306_oled_hello_tabl_wordaddr.map
ssd1306_oled_hello_table.asm,example_or_application,3995,5ae70d8fce3135ebf841ab910974c5a0208206ebf7b64c14e8da1d4eb43ed12b,251,201,3,2,30,True,True,59,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01C7,456,240,0,0,build/ssd1306_oled_hello_table.bin,build/ssd1306_oled_hello_table.map
ssd1306_oled_hello_world.asm,example_or_application,12497,51aa73561a94780e8701413e18782c2600a32d98c136a7f190d9a607d9d8b8ec,553,321,6,0,0,False,False,123,12,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x028C,653,332,0,0,.embeddedskills/build/ssd1306_oled_hello_world.bin,.embeddedskills/build/ssd1306_oled_hello_world.map
ssd1306_oled_light_on.asm,example_or_application,12942,d236bd574f55fc0cc671e836500c5cf48fae5b37ee402c9b2311456ee590373b,498,226,6,0,0,False,False,55,24,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x02AF,688,462,0,0,.embeddedskills/build/ssd1306_oled_light_on.bin,.embeddedskills/build/ssd1306_oled_light_on.map
